iter	Passed	Remaining
403	12002	17707
404	12025	17666
405	12049	17629
406	12073	17591
407	12095	17550
408	12120	17513
409	12144	17476
410	12168	17439
411	12190	17398
412	12211	17356
413	12232	17315
414	12257	17278
415	12282	17242
416	12304	17202
417	12329	17166
418	12352	17129
419	12375	17089
420	12399	17053
421	12422	17014
422	12445	16976
423	12467	16936
424	12489	16897
425	12514	16862
426	12537	16823
427	12558	16784
428	12584	16749
429	12606	16710
430	12627	16669
431	12651	16633
432	12672	16593
433	12693	16554
434	12718	16519
435	12743	16484
436	12769	16451
437	12793	16415
438	12817	16379
439	12838	16339
440	12862	16304
441	12886	16268
442	12907	16229
443	12930	16191
444	12951	16153
445	12976	16118
446	13001	16084
447	13026	16050
448	13051	16016
449	13073	15978
450	13099	15945
451	13122	15909
452	13144	15872
453	13166	15834
454	13188	15797
455	13212	15762
456	13236	15727
457	13257	15689
458	13280	15653
459	13304	15618
460	13328	15583
461	13352	15548
462	13374	15511
463	13397	15476
464	13418	15438
465	13439	15400
466	13463	15366
467	13485	15329
468	13507	15293
469	13529	15256
470	13550	15219
471	13572	15182
472	13595	15147
473	13620	15115
474	13643	15079
475	13665	15044
476	13687	15007
477	13708	14970
478	13730	14934
479	13752	14898
480	13776	14865
481	13798	14828
482	13822	14795
483	13846	14762
484	13871	14729
485	13893	14694
486	13914	14657
487	13938	14623
488	13960	14588
489	13983	14554
490	14006	14520
491	14030	14486
492	14052	14451
493	14072	14414
494	14096	14381
495	14118	14346
496	14142	14313
497	14167	14281
498	14191	14248
499	14215	14215
500	14242	14185
501	14266	14153
502	14296	14125
503	14335	14107
504	14393	14108
505	14438	14096
506	14487	14087
507	14530	14073
508	14577	14062
509	14623	14050
510	14671	14039
511	14714	14025
512	14755	14008
513	14801	13995
514	14845	13980
515	14890	13967
516	14938	13956
517	14981	13940
518	15026	13926
519	15071	13912
520	15118	13899
521	15162	13884
522	15211	13873
523	15256	13858
524	15300	13843
525	15346	13829
526	15393	13816
527	15440	13802
528	15486	13788
529	15529	13771
530	15574	13756
531	15617	13738
532	15665	13725
533	15714	13713
534	15763	13700
535	15804	13681
536	15847	13663
537	15888	13643
538	15930	13625
539	15976	13609
540	16024	13595
541	16076	13584
542	16118	13565
543	16167	13552
544	16212	13535
545	16258	13519
546	16300	13499
547	16344	13481
548	16390	13464
549	16440	13451
550	16483	13432
551	16537	13421
552	16587	13407
553	16629	13387
554	16672	13367
555	16711	13345
556	16753	13324
557	16804	13311
558	16855	13297
559	16892	13272
560	16914	13235
561	16935	13198
562	16959	13163
563	16983	13128
564	17003	13091
565	17026	13056
566	17047	13018
567	17070	12983
568	17094	12948
569	17117	12913
570	17139	12877
571	17161	12840
572	17183	12804
573	17206	12770
574	17229	12734
575	17252	12699
576	17273	12663
577	17298	12630
578	17321	12595
579	17344	12559
580	17366	12523
581	17388	12488
582	17421	12460
583	17442	12424
584	17466	12390
585	17487	12354
586	17509	12319
587	17532	12284
588	17556	12250
589	17579	12216
590	17601	12180
591	17625	12147
592	17647	12112
593	17672	12079
594	17697	12046
595	17719	12011
596	17741	11976
597	17763	11941
598	17784	11906
599	17806	11871
600	17831	11837
601	17852	11802
602	17876	11769
603	17897	11734
604	17921	11700
605	17943	11665
606	17966	11632
607	17988	11597
608	18008	11562
609	18030	11527
610	18052	11493
611	18076	11460
612	18099	11426
613	18122	11393
614	18146	11359
615	18168	11325
616	18190	11291
617	18211	11257
618	18233	11222
619	18255	11188
620	18280	11156
621	18304	11123
622	18325	11089
623	18348	11056
624	18371	11023
625	18395	10990
626	18422	10959
627	18444	10925
628	18465	10891
629	18487	10857
630	18510	10824
631	18533	10791
632	18555	10758
633	18578	10725
634	18600	10691
635	18626	10660
636	18648	10626
637	18671	10593
638	18693	10560
639	18715	10527
640	18738	10494
641	18762	10462
642	18785	10430
643	18807	10396
644	18830	10364
645	18853	10331
646	18879	10300
647	18905	10269
648	18930	10238
649	18955	10206
650	18978	10174
651	19001	10142
652	19025	10109
653	19047	10077
654	19071	10045
655	19091	10011
656	19116	9979
657	19139	9948
658	19162	9915
659	19185	9883
660	19208	9851
661	19231	9818
662	19253	9786
663	19276	9754
664	19299	9722
665	19320	9689
666	19345	9658
667	19370	9627
668	19395	9596
669	19417	9563
670	19439	9531
671	19464	9500
672	19487	9468
673	19510	9436
674	19532	9404
675	19554	9372
676	19579	9341
677	19604	9310
678	19628	9279
679	19652	9248
680	19676	9217
681	19698	9184
682	19721	9153
683	19746	9122
684	19770	9091
685	19793	9059
686	19813	9027
687	19837	8996
688	19861	8965
689	19884	8933
690	19908	8902
691	19933	8872
692	19957	8841
693	19981	8810
694	20005	8779
695	20028	8748
696	20049	8716
697	20073	8685
698	20094	8653
699	20116	8621
700	20141	8591
701	20163	8559
702	20186	8528
703	20206	8495
704	20228	8464
705	20253	8434
706	20275	8402
707	20299	8372
708	20321	8340
709	20345	8310
710	20369	8279
711	20393	8249
712	20415	8217
713	20437	8186
714	20460	8155
715	20486	8125
716	20509	8095
717	20535	8065
718	20558	8034
719	20582	8004
720	20604	7973
721	20628	7942
722	20653	7913
723	20679	7883
724	20708	7855
725	20749	7831
726	20795	7808
727	20838	7785
728	20881	7762
729	20925	7739
730	20972	7717
731	21019	7695
732	21068	7674
733	21113	7651
734	21156	7627
735	21199	7604
736	21243	7580
737	21286	7557
738	21328	7532
739	21374	7509
740	21418	7486
741	21466	7464
742	21518	7443
743	21560	7418
744	21604	7394
745	21646	7370
746	21689	7345
747	21731	7321
748	21781	7299
749	21824	7274
750	21866	7250
751	21910	7225
752	21955	7201
753	22001	7178
754	22046	7154
755	22090	7129
756	22134	7105
757	22175	7079
758	22229	7058
759	22279	7035
760	22331	7013
761	22375	6988
762	22416	6963
763	22461	6938
764	22510	6914
765	22559	6891
766	22607	6867
767	22652	6843
768	22694	6817
769	22735	6791
770	22778	6765
771	22821	6740
772	22866	6715
773	22910	6689
774	22958	6665
775	23002	6639
776	23043	6613
777	23090	6588
778	23136	6563
779	23178	6537
780	23223	6512
781	23272	6487
782	23295	6456
783	23319	6424
784	23341	6392
785	23363	6360
786	23387	6329
787	23409	6298
788	23432	6266
789	23456	6235
790	23479	6203
791	23501	6172
792	23525	6141
793	23547	6109
794	23571	6078
795	23591	6046
796	23616	6015
797	23637	5983
798	23661	5952
799	23684	5921
800	23707	5889
801	23729	5858
802	23751	5826
803	23772	5795
804	23795	5764
805	23817	5732
806	23844	5702
807	23869	5671
808	23891	5640
809	23912	5609
810	23937	5578
811	23958	5547
812	23981	5516
813	24005	5485
814	24028	5454
815	24052	5423
816	24073	5392
817	24094	5360
818	24117	5329
819	24139	5298
820	24164	5268
821	24187	5237
822	24208	5206
823	24230	5175
824	24253	5144
825	24275	5113
826	24296	5082
827	24317	5051
828	24342	5021
829	24366	4990
830	24387	4959
831	24408	4928
832	24429	4897
833	24453	4867
834	24476	4836
835	24502	4806
836	24527	4776
837	24548	4745
838	24569	4714
839	24594	4684
840	24617	4654
841	24640	4623
842	24665	4593
843	24689	4563
844	24710	4532
845	24732	4502
846	24755	4471
847	24778	4441
848	24798	4410
849	24821	4380
850	24843	4349
851	24865	4319
852	24888	4289
853	24912	4259
854	24934	4228
855	24955	4198
856	24980	4168
857	25003	4138
858	25027	4108
859	25052	4078
860	25073	4047
861	25095	4017
862	25116	3987
863	25137	3956
864	25160	3926
865	25184	3896
866	25207	3866
867	25232	3837
868	25254	3807
869	25278	3777
870	25299	3746
871	25323	3717
872	25344	3686
873	25365	3656
874	25389	3627
875	25412	3597
876	25438	3567
877	25463	3538
878	25488	3508
879	25514	3479
880	25539	3449
881	25562	3419
882	25584	3390
883	25607	3360
884	25629	3330
885	25653	3300
886	25677	3271
887	25698	3241
888	25722	3211
889	25747	3182
890	25769	3152
891	25793	3122
892	25815	3093
893	25836	3063
894	25861	3033
895	25882	3004
896	25907	2974
897	25932	2945
898	25955	2915
899	25978	2886
900	26000	2856
901	26021	2827
902	26043	2797
903	26066	2768
904	26090	2738
905	26113	2709
906	26138	2680
907	26160	2650
908	26182	2621
909	26204	2591
910	26230	2562
911	26254	2533
912	26278	2504
913	26301	2474
914	26326	2445
915	26348	2416
916	26372	2387
917	26394	2357
918	26418	2328
919	26443	2299
920	26468	2270
921	26493	2241
922	26516	2212
923	26540	2182
924	26563	2153
925	26584	2124
926	26606	2095
927	26627	2065
928	26648	2036
929	26669	2007
930	26691	1978
931	26714	1949
932	26737	1920
933	26763	1891
934	26784	1862
935	26807	1833
936	26831	1804
937	26854	1775
938	26878	1746
939	26901	1717
940	26924	1688
941	26947	1659
942	26971	1630
943	26997	1601
944	27022	1572
945	27046	1543
946	27067	1514
947	27095	1486
948	27137	1458
949	27182	1430
950	27229	1402
951	27272	1375
952	27317	1347
953	27364	1319
954	27405	1291
955	27448	1263
956	27497	1235
957	27542	1207
958	27588	1179
959	27633	1151
960	27680	1123
961	27726	1095
962	27766	1066
963	27808	1038
964	27854	1010
965	27900	981
966	27943	953
967	27989	925
968	28032	896
969	28073	868
970	28116	839
971	28157	811
972	28200	782
973	28242	753
974	28286	725
975	28331	696
