iter	Logloss	AUC
69	0.1913440807	0.9401404917
70	0.1897749336	0.9405537027
71	0.1879805581	0.9409669136
72	0.1866875211	0.9413742215
73	0.1858095211	0.9415498362
74	0.1852717965	0.9416546147
75	0.1839011955	0.942113574
76	0.1824641081	0.9423083734
77	0.1818548587	0.9423969186
78	0.1808371694	0.9421489921
79	0.1793932106	0.94212538
80	0.1782998956	0.9423600248
81	0.1776200713	0.9428780142
82	0.1768444756	0.9431820194
83	0.1760607026	0.9433089342
84	0.1753949367	0.9433561583
85	0.1745397751	0.9435893274
86	0.1738194507	0.9435908031
87	0.1728287913	0.943770845
88	0.1717115345	0.9441442106
89	0.1711547019	0.9444437886
90	0.1708258163	0.9443685251
91	0.1705915762	0.9443434373
92	0.1700759691	0.9442873587
93	0.1687211173	0.9446090729
94	0.1676358466	0.9445352853
95	0.1672139858	0.9446297335
96	0.1670246409	0.9446031699
97	0.1665857679	0.9448614268
98	0.1654929737	0.9452200348
99	0.1647300556	0.9455712641
100	0.1646683356	0.9458737936
101	0.1643832884	0.9458959299
102	0.1639078367	0.946266344
103	0.1629221346	0.9475295889
104	0.1621274153	0.9473274106
105	0.1614180394	0.947684543
106	0.1609303904	0.9480859479
107	0.1600564069	0.9487485611
108	0.1598351033	0.9487987368
109	0.1589457451	0.9489020395
110	0.1586103611	0.9490584693
111	0.157779228	0.9489905847
112	0.1572278865	0.9489448363
113	0.1566218379	0.9494539713
114	0.1563720765	0.9495011954
115	0.1562308428	0.9495144771
116	0.1555611723	0.9500427968
117	0.1549351256	0.9500014758
118	0.154694198	0.9500634574
119	0.1542343753	0.9501756147
120	0.1540212541	0.95032319
121	0.1532944215	0.9504855229
122	0.1525172349	0.9506124376
123	0.1522553563	0.9506995071
124	0.152061775	0.9512115935
125	0.1517785842	0.9513207993
126	0.151397399	0.9512691479
127	0.1512768107	0.9512868569
128	0.1506991963	0.9516115227
129	0.1503765873	0.9516425135
130	0.1497034693	0.9519376642
131	0.1494619413	0.9520660547
132	0.1492488002	0.9521811635
133	0.1487595886	0.9524836929
134	0.1485175217	0.9523169328
135	0.1481099877	0.9531226941
136	0.1479559109	0.9531581122
137	0.1475648961	0.9537292288
138	0.1472571212	0.9538015407
139	0.1468272091	0.9545482719
140	0.146654391	0.9545733597
141	0.1464221891	0.9547563531
142	0.1462664876	0.9548626074
143	0.1461489966	0.9549393465
144	0.1457040523	0.9559649951
145	0.14522655	0.9562498155
146	0.1446295942	0.9562763791
147	0.1441955854	0.9561848824
148	0.1437751776	0.9565611995
149	0.1433575263	0.9570555769
150	0.1432506209	0.9570777132
151	0.1429228711	0.9572621823
152	0.1424138073	0.9573728638
153	0.1419046583	0.9574186122
154	0.1417568755	0.9574141849
155	0.1415210964	0.957557333
156	0.1414099621	0.9576148874
157	0.1409708504	0.9577639385
158	0.1408747527	0.9578052596
159	0.140300692	0.9582524129
160	0.1398779384	0.9582878309
