iter	Passed	Remaining
404	8748	12852
405	8770	12831
406	8793	12812
407	8820	12798
408	8840	12774
409	8865	12757
410	8887	12736
411	8912	12719
412	8936	12701
413	8958	12679
414	8981	12660
415	9003	12639
416	9022	12614
417	9046	12595
418	9071	12578
419	9093	12558
420	9117	12539
421	9141	12521
422	9162	12498
423	9185	12478
424	9210	12461
425	9238	12447
426	9263	12431
427	9286	12411
428	9309	12391
429	9337	12377
430	9360	12357
431	9382	12336
432	9402	12312
433	9425	12291
434	9447	12270
435	9472	12252
436	9496	12234
437	9522	12217
438	9549	12202
439	9575	12186
440	9601	12170
441	9625	12151
442	9646	12128
443	9668	12107
444	9695	12091
445	9719	12072
446	9746	12057
447	9769	12037
448	9793	12018
449	9818	11999
450	9839	11977
451	9862	11957
452	9888	11940
453	9913	11922
454	9938	11903
455	9962	11884
456	9984	11863
457	10009	11845
458	10033	11826
459	10059	11808
460	10085	11791
461	10110	11773
462	10132	11752
463	10152	11727
464	10178	11710
465	10203	11692
466	10229	11675
467	10254	11657
468	10279	11638
469	10303	11618
470	10332	11604
471	10360	11589
472	10385	11571
473	10408	11550
474	10432	11530
475	10454	11508
476	10480	11490
477	10503	11469
478	10523	11446
479	10546	11425
480	10569	11404
481	10591	11382
482	10616	11364
483	10642	11346
484	10663	11323
485	10687	11302
486	10711	11283
487	10735	11263
488	10756	11240
489	10782	11222
490	10803	11199
491	10823	11175
492	10843	11151
493	10869	11133
494	10893	11113
495	10915	11092
496	10938	11070
497	10959	11047
498	10981	11025
499	11006	11006
500	11027	10983
501	11055	10967
502	11079	10947
503	11101	10925
504	11123	10903
505	11147	10883
506	11173	10865
507	11199	10846
508	11225	10828
509	11248	10807
510	11269	10784
511	11291	10761
512	11315	10741
513	11339	10721
514	11363	10701
515	11386	10679
516	11408	10657
517	11429	10635
518	11451	10613
519	11473	10591
520	11494	10568
521	11520	10549
522	11541	10526
523	11562	10503
524	11587	10483
525	11608	10460
526	11634	10442
527	11657	10420
528	11680	10399
529	11704	10379
530	11725	10356
531	11749	10335
532	11769	10312
533	11790	10289
534	11809	10264
535	11833	10243
536	11857	10223
537	11879	10201
538	11901	10178
539	11920	10154
540	11939	10130
541	11964	10109
542	11988	10089
543	12009	10067
544	12032	10045
545	12056	10025
546	12077	10002
547	12098	9979
548	12119	9955
549	12141	9933
550	12163	9912
551	12188	9892
552	12212	9871
553	12234	9849
554	12257	9828
555	12277	9804
556	12299	9782
557	12326	9764
558	12355	9747
559	12379	9727
560	12401	9704
561	12423	9682
562	12442	9657
563	12468	9638
564	12493	9618
565	12517	9597
566	12539	9576
567	12561	9553
568	12582	9531
569	12603	9507
570	12627	9486
571	12649	9464
572	12672	9443
573	12694	9421
574	12717	9400
575	12739	9377
576	12764	9358
577	12789	9337
578	12811	9315
579	12835	9294
580	12857	9272
581	12881	9251
582	12904	9230
583	12925	9207
584	12949	9186
585	12974	9166
586	12996	9144
587	13020	9123
588	13040	9099
589	13066	9080
590	13094	9061
591	13116	9039
592	13137	9016
593	13158	8993
594	13184	8974
595	13206	8951
596	13227	8929
597	13248	8905
598	13270	8883
599	13298	8865
600	13323	8845
601	13346	8823
602	13370	8802
603	13392	8780
604	13418	8760
605	13440	8738
606	13461	8715
607	13483	8693
608	13508	8672
609	13530	8650
610	13552	8628
611	13580	8609
612	13602	8587
613	13626	8566
614	13648	8544
615	13672	8523
616	13695	8501
617	13718	8479
618	13739	8457
619	13761	8434
620	13787	8414
621	13816	8396
622	13839	8374
623	13861	8352
624	13885	8331
625	13909	8310
626	13932	8288
627	13954	8265
628	13975	8242
629	13998	8221
630	14021	8199
631	14044	8177
632	14067	8156
633	14089	8133
634	14112	8112
635	14137	8091
636	14164	8071
637	14185	8048
638	14207	8026
639	14230	8004
640	14251	7981
641	14276	7960
642	14299	7939
643	14321	7916
644	14347	7896
645	14374	7876
646	14394	7853
647	14416	7830
648	14438	7808
649	14461	7787
650	14488	7767
651	14511	7745
652	14532	7722
653	14554	7700
654	14575	7677
655	14598	7655
656	14622	7633
657	14648	7613
658	14673	7592
659	14696	7571
660	14722	7550
661	14746	7529
662	14772	7508
663	14796	7487
664	14822	7467
665	14844	7444
666	14867	7422
667	14894	7402
668	14913	7378
669	14938	7357
670	14963	7336
671	14986	7314
672	15012	7294
673	15035	7272
674	15058	7250
675	15080	7228
676	15103	7206
677	15125	7183
678	15148	7161
679	15173	7140
680	15195	7118
681	15217	7095
682	15240	7073
683	15261	7050
684	15283	7028
685	15306	7006
686	15332	6985
687	15354	6962
688	15375	6940
689	15402	6920
690	15425	6897
691	15448	6875
692	15476	6855
693	15497	6833
694	15519	6810
695	15541	6788
696	15563	6765
697	15588	6744
698	15614	6723
699	15639	6702
700	15662	6680
701	15687	6659
702	15712	6638
703	15740	6618
704	15761	6595
705	15782	6572
706	15804	6549
707	15829	6528
708	15856	6508
709	15877	6485
710	15900	6463
711	15924	6441
712	15948	6419
713	15970	6397
714	15992	6374
715	16015	6352
716	16035	6329
717	16055	6305
718	16082	6285
719	16107	6263
720	16131	6242
721	16157	6221
722	16182	6199
723	16206	6178
724	16228	6155
725	16251	6133
726	16273	6111
727	16294	6088
728	16317	6065
729	16337	6042
730	16364	6021
731	16391	6001
732	16416	5979
733	16439	5957
734	16462	5935
735	16484	5912
736	16510	5891
737	16534	5870
738	16561	5849
739	16582	5826
740	16606	5804
741	16632	5783
742	16652	5759
743	16673	5737
744	16696	5714
745	16719	5692
746	16744	5671
747	16767	5649
748	16788	5625
749	16810	5603
750	16830	5580
751	16855	5558
752	16879	5536
753	16905	5515
754	16928	5493
755	16951	5471
756	16972	5448
757	16993	5425
758	17013	5402
759	17036	5379
760	17061	5358
761	17087	5336
762	17108	5314
763	17132	5292
764	17155	5270
765	17180	5248
766	17204	5226
767	17226	5203
768	17250	5181
769	17273	5159
770	17295	5137
771	17316	5114
772	17338	5091
773	17361	5069
774	17381	5046
775	17403	5023
776	17427	5001
777	17452	4979
778	17476	4958
779	17498	4935
780	17519	4912
781	17541	4890
782	17568	4868
783	17595	4847
784	17618	4825
785	17643	4803
786	17662	4780
787	17684	4757
788	17706	4735
789	17731	4713
790	17754	4691
791	17778	4669
792	17804	4647
793	17826	4625
794	17851	4603
795	17877	4581
796	17900	4559
797	17925	4537
798	17950	4515
799	17975	4493
800	17999	4471
801	18021	4449
802	18044	4426
803	18065	4404
804	18090	4382
805	18114	4360
806	18137	4337
807	18159	4315
808	18179	4292
809	18203	4269
810	18234	4249
811	18259	4227
812	18281	4205
813	18304	4182
814	18329	4160
815	18353	4138
816	18379	4116
817	18403	4094
818	18430	4073
819	18452	4050
820	18476	4028
821	18500	4006
822	18524	3983
823	18544	3960
824	18570	3939
825	18596	3917
826	18618	3894
827	18642	3872
828	18665	3850
829	18688	3827
830	18709	3805
831	18733	3782
832	18759	3760
833	18788	3739
834	18813	3717
835	18836	3695
836	18858	3672
837	18880	3649
838	18904	3627
839	18930	3605
840	18955	3583
841	18977	3561
842	19000	3538
843	19023	3516
844	19047	3493
845	19070	3471
846	19094	3449
847	19117	3426
848	19142	3404
849	19165	3382
850	19186	3359
851	19209	3336
852	19234	3314
853	19260	3292
854	19288	3271
855	19310	3248
856	19330	3225
857	19351	3202
858	19375	3180
859	19397	3157
860	19420	3135
861	19442	3112
862	19465	3090
863	19486	3067
864	19512	3045
865	19539	3023
866	19563	3001
867	19587	2978
868	19611	2956
869	19634	2933
870	19660	2911
871	19687	2889
872	19717	2868
873	19741	2845
874	19766	2823
875	19789	2801
876	19809	2778
877	19831	2755
878	19853	2732
879	19874	2710
880	19894	2687
881	19916	2664
882	19943	2642
883	19968	2620
884	19994	2598
885	20017	2575
886	20037	2552
887	20058	2529
888	20084	2507
889	20109	2485
890	20132	2462
891	20157	2440
892	20181	2418
893	20203	2395
894	20229	2373
895	20254	2350
896	20279	2328
897	20301	2305
898	20324	2283
899	20348	2260
900	20369	2238
901	20394	2215
902	20414	2192
903	20437	2170
904	20460	2147
905	20485	2125
906	20511	2103
907	20533	2080
908	20558	2058
909	20580	2035
910	20600	2012
911	20624	1990
912	20653	1968
913	20673	1945
914	20695	1922
915	20717	1899
916	20738	1877
917	20760	1854
918	20783	1831
919	20804	1809
920	20832	1786
921	20857	1764
922	20880	1741
923	20901	1719
924	20924	1696
925	20944	1673
926	20966	1651
927	20993	1628
928	21014	1606
929	21034	1583
930	21053	1560
931	21076	1537
932	21099	1515
933	21122	1492
934	21142	1469
935	21165	1447
936	21192	1424
937	21216	1402
938	21242	1379
939	21265	1357
940	21287	1334
941	21312	1312
942	21331	1289
943	21353	1266
944	21376	1244
945	21399	1221
946	21424	1199
947	21446	1176
948	21467	1153
949	21493	1131
950	21517	1108
951	21542	1086
952	21567	1063
953	21590	1041
954	21611	1018
955	21633	995
956	21660	973
957	21682	950
958	21708	928
959	21734	905
960	21755	882
961	21776	860
962	21797	837
963	21821	814
964	21844	792
965	21867	769
966	21893	747
967	21915	724
968	21939	701
969	21962	679
970	21981	656
971	22007	633
972	22031	611
973	22054	588
974	22079	566
975	22101	543
976	22123	520
977	22146	498
978	22166	475
979	22188	452
980	22214	430
981	22240	407
982	22264	385
983	22284	362
984	22305	339
985	22329	317
986	22351	294
987	22378	271
988	22401	249
989	22425	226
990	22449	203
991	22472	181
992	22494	158
993	22522	135
994	22546	113
995	22571	90
996	22596	67
997	22617	45
998	22644	22
999	22668	0
